ID,Engaj,Idade,Regiao_int,Tipo_Cliente,Total_gasto,Tempo_relacionamento,Campanha,Status,Sexo_num,Regiao_brk,email
0000039330,,,CO01,50,0.01,4,0,Bronze,0,Centro-0este,fake_email@corporate.co
0000041092,3,50,CO01,35,9800,3,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000041475,,66,L01,28,0.01,11,0,Bronze,0,Leste,fake_email@corporate.co
0000042439,15,35,CO04,19,1630,5,1,Prata,1,Centro-0este,fake_email@corporate.co
0000045799,10,71,CO04,14,1500,5,0,Prata,1,Centro-0este,fake_email@corporate.co
0000046906,7,44,N02,51,1000,1,0,Prata,1,Norte,fake_email@corporate.co
0000050237,8,42,N01,15,0.01,5,0,Bronze,0,Norte,fake_email@corporate.co
0000051950,9,68,O,08,6053.25,5,1,Ouro,1,0este,fake_email@corporate.co
0000054496,9,31,N03,32,0.01,4,0,Bronze,1,Norte,fake_email@corporate.co
0000056073,8,70,L01,12,19053.82,15,0,Ouro,1,Leste,fake_email@corporate.co
0000057002,7,72,N01,38,20526.96,3,0,Platino,1,Norte,fake_email@corporate.co
0000057622,12,41,CO01,,0.01,9,0,Bronze,0,Centro-0este,fake_email@corporate.co
0000059056,9,37,N01,52,6000,1,1,Ouro,1,Norte,fake_email@corporate.co
0000059862,8,58,N02,24,10053.35,7,0,Ouro,1,Norte,fake_email@corporate.co
0000063002,7,47,L01,31,0.02,5,0,Prata,1,Leste,fake_email@corporate.co
0000063983,8,71,CO01,37,1000,6,0,Prata,0,Centro-0este,fake_email@corporate.co
0000071986,8,62,CO02,27,1000,5,1,Prata,1,Centro-0este,fake_email@corporate.co
0000072559,15,72,CO02,37,6340.26,12,0,Ouro,99,Centro-0este,fake_email@corporate.co
0000073148,8,39,CO02,44,2241.36,4,1,Prata,1,Centro-0este,fake_email@corporate.co
0000075205,6,76,CO04,34,12000,19,0,Ouro,0,Centro-0este,fake_email@corporate.co
0000075469,7,61,S01,11,6000,11,1,Ouro,1,Sul,fake_email@corporate.co
0000080322,6,53,CO02,32,0.01,5,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000080608,8,60,N03,22,60,11,1,Prata,0,Norte,fake_email@corporate.co
0000082678,15,42,L01,52,0.01,5,1,Bronze,1,Leste,fake_email@corporate.co
0000083852,13,,L01,04,5000,4,0,Prata,1,Leste,fake_email@corporate.co
0000084573,10,57,CO02,38,50,11,0,Prata,1,Centro-0este,fake_email@corporate.co
0000087750,6,45,CO02,51,0.01,4,0,Bronze,0,Centro-0este,fake_email@corporate.co
0000089796,11,75,CO01,12,3052.66,8,1,Prata,1,Centro-0este,fake_email@corporate.co
0000091588,8,37,N03,38,0.01,5,1,Bronze,1,Norte,fake_email@corporate.co
0000093564,13,61,O,42,3000,8,0,Prata,99,0este,fake_email@corporate.co
0000095036,12,61,,08,1020,9,0,Prata,1,,fake_email@corporate.co
0000095982,19,39,N03,04,0.01,8,1,Bronze,1,Norte,fake_email@corporate.co
0000097802,7,55,CO03,,2000,1,0,Prata,0,Centro-0este,fake_email@corporate.co
0000102385,8,57,S02,08,9000,9,0,Ouro,0,Sul,fake_email@corporate.co
0000103225,13,18,L02,22,6000,1,0,Ouro,1,Leste,fake_email@corporate.co
0000108413,5,56,N02,01,3000,8,0,Prata,99,Norte,fake_email@corporate.co
0000109819,9,50,N01,27,20000,4,0,Ouro,1,Norte,fake_email@corporate.co
0000113743,,54,N02,51,2000,2,0,Prata,1,Norte,fake_email@corporate.co
0000117498,11,67,N01,15,22000,8,0,Platino,99,Norte,fake_email@corporate.co
0000118397,7,78,CO02,37,2000,24,0,Prata,1,Centro-0este,fake_email@corporate.co
0000121312,5,61,CO02,19,0.01,5,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000121495,5,45,L01,14,600,11,0,Prata,1,Leste,fake_email@corporate.co
0000124710,11,66,L01,01,2000,5,0,Prata,1,Leste,fake_email@corporate.co
0000126098,2,51,N03,24,10000,5,0,Ouro,99,Norte,fake_email@corporate.co
0000126586,3,,CO02,18,15000,1,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000127892,10,60,N02,12,1020,9,0,Prata,1,Norte,fake_email@corporate.co
0000129283,9,48,CO01,19,3000,2,0,Prata,0,Centro-0este,fake_email@corporate.co
0000129410,8,53,L02,24,100,1,0,Prata,1,Leste,fake_email@corporate.co
0000134872,10,72,CO02,45,12000,8,1,Ouro,99,Centro-0este,fake_email@corporate.co
0000140597,9,68,L01,41,0.01,7,0,Bronze,1,Leste,fake_email@corporate.co
0000144649,8,47,S03,01,0.01,5,0,Bronze,1,Sul,fake_email@corporate.co
0000145157,11,39,L01,40,2800,1,1,Prata,1,Leste,fake_email@corporate.co
0000146730,12,72,L01,04,0.01,8,0,Bronze,1,Leste,fake_email@corporate.co
0000148415,10,67,L01,40,6000,4,0,Ouro,0,Leste,fake_email@corporate.co
0000148849,9,60,L01,25,0.01,8,0,Bronze,1,Leste,fake_email@corporate.co
0000151432,6,,N03,30,9000,3,0,Ouro,0,Norte,fake_email@corporate.co
0000154040,11,52,N02,52,0.01,9,0,Bronze,0,Norte,fake_email@corporate.co
0000156515,7,55,CO02,27,0.01,8,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000158216,14,65,L02,,6053.35,6,0,Ouro,0,Leste,fake_email@corporate.co
0000159522,13,41,L01,12,0.01,7,1,Bronze,0,Leste,fake_email@corporate.co
0000162485,16,34,CO01,28,3000,3,1,Prata,1,Centro-0este,fake_email@corporate.co
0000165808,6,40,N02,32,1500,7,1,Prata,1,Norte,fake_email@corporate.co
0000168394,9,35,L01,53,0.01,4,1,Bronze,1,Leste,fake_email@corporate.co
0000170127,7,50,N03,10,5000,10,0,Prata,0,Norte,fake_email@corporate.co
0000181498,6,62,N02,01,3000,29,0,Prata,1,Norte,fake_email@corporate.co
0000191396,7,,N03,51,0.01,10,0,Bronze,0,Norte,fake_email@corporate.co
0000192791,9,60,CO01,16,8100,5,0,Ouro,0,Centro-0este,fake_email@corporate.co
0000197440,8,49,N02,14,7600,4,0,Ouro,1,Norte,fake_email@corporate.co
0000202878,6,57,CO02,53,2000,8,0,Prata,0,Centro-0este,fake_email@corporate.co
0000203289,7,52,CO02,51,23053.35,6,0,Platino,99,Centro-0este,fake_email@corporate.co
0000206032,6,75,S02,52,10000,17,0,Ouro,0,Sul,fake_email@corporate.co
0000209732,15,55,CO02,37,10000,6,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000213241,5,57,,51,12000,1,0,Ouro,1,,fake_email@corporate.co
0000215554,8,52,N02,22,2500,6,1,Prata,1,Norte,fake_email@corporate.co
0000217158,12,74,CO01,03,6000,5,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000223182,9,79,L01,28,5000,5,0,Prata,1,Leste,fake_email@corporate.co
0000234540,6,48,N03,32,420,4,0,Prata,1,Norte,fake_email@corporate.co
0000239844,11,60,L01,41,0.01,8,0,Bronze,1,Leste,fake_email@corporate.co
0000243051,3,38,N02,53,50,9,1,Prata,1,Norte,fake_email@corporate.co
0000248258,9,58,N02,10,5000,5,0,Prata,1,Norte,fake_email@corporate.co
0000249335,4,52,CO04,30,1800,4,0,Prata,0,Centro-0este,fake_email@corporate.co
0000252646,3,45,N03,47,100.01,9,0,Prata,1,Norte,fake_email@corporate.co
0000253839,9,42,N02,51,2000,4,0,Prata,1,Norte,fake_email@corporate.co
0000256366,10,40,CO02,51,50,10,0,Prata,99,Centro-0este,fake_email@corporate.co
0000259802,5,55,CO02,35,10100,8,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000262684,8,77,CO02,23,6000,3,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000263419,11,27,L01,19,0.01,7,1,Bronze,1,Leste,fake_email@corporate.co
0000267236,4,60,N02,37,0.01,8,0,Bronze,1,Norte,fake_email@corporate.co
0000270962,7,58,L01,04,2500,5,0,Prata,99,Leste,fake_email@corporate.co
0000271101,7,54,CO02,05,0.01,,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000274623,7,42,N02,32,0.01,4,0,Bronze,0,Norte,fake_email@corporate.co
0000275700,10,36,,48,1000,9,1,Prata,1,,fake_email@corporate.co
0000276871,6,,L01,41,5500,1,1,Ouro,1,Leste,fake_email@corporate.co
0000277010,4,57,L01,31,0.01,5,0,Bronze,1,Leste,fake_email@corporate.co
0000278661,10,72,CO02,18,11105.32,8,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000280895,10,,CO01,17,0.01,6,1,Bronze,1,Centro-0este,fake_email@corporate.co
0000282057,7,37,N02,51,0.01,5,0,Bronze,1,Norte,fake_email@corporate.co
0000285846,9,76,CO01,51,2000,8,1,Prata,1,Centro-0este,fake_email@corporate.co
0000287628,6,45,N02,34,0.01,5,0,Bronze,1,Norte,fake_email@corporate.co
0000288748,14,,L02,19,10000,8,0,Ouro,1,Leste,fake_email@corporate.co
0000290890,,51,L01,48,0.02,9,0,Prata,0,Leste,fake_email@corporate.co
0000293083,15,61,L02,12,500,2,0,Prata,1,Leste,fake_email@corporate.co
0000293555,12,61,S03,11,4000,1,0,Prata,1,Sul,fake_email@corporate.co
0000295620,9,47,CO03,,0.01,5,0,Bronze,0,Centro-0este,fake_email@corporate.co
0000297194,8,52,CO01,50,0.01,8,0,Bronze,99,Centro-0este,fake_email@corporate.co
0000300845,8,40,CO02,38,1000,1,0,Prata,99,Centro-0este,fake_email@corporate.co
0000301175,5,56,CO02,34,0.01,9,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000301981,8,51,N02,47,9000.01,8,0,Ouro,1,Norte,fake_email@corporate.co
0000310786,9,50,L01,24,12000,2,0,Ouro,1,Leste,fake_email@corporate.co
0000312169,4,46,N02,38,0.01,5,0,Bronze,1,Norte,fake_email@corporate.co
0000312762,8,41,L02,08,1675,7,1,Prata,1,Leste,fake_email@corporate.co
0000315559,8,60,L01,10,100.01,8,0,Prata,0,Leste,fake_email@corporate.co
0000315788,10,70,L02,15,2250,8,0,Prata,1,Leste,fake_email@corporate.co
0000316350,9,50,L01,28,0.01,9,1,Bronze,1,Leste,fake_email@corporate.co
0000317640,15,37,CO02,49,0.01,8,1,Bronze,1,Centro-0este,fake_email@corporate.co
0000317950,9,74,L01,18,3000,5,0,Prata,1,Leste,fake_email@corporate.co
0000318922,8,61,O,37,1200,6,1,Prata,1,0este,fake_email@corporate.co
0000323039,8,49,N02,04,4000,3,0,Prata,1,Norte,fake_email@corporate.co
0000324469,7,,L02,34,0.01,8,0,Bronze,1,Leste,fake_email@corporate.co
0000331341,9,53,S02,11,6000,4,0,Ouro,0,Sul,fake_email@corporate.co
0000332658,4,,CO02,34,0.01,5,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000335606,,59,S01,45,2500,7,0,Prata,99,Sul,fake_email@corporate.co
0000340146,7,63,N02,12,0.01,5,0,Bronze,1,Norte,fake_email@corporate.co
0000342033,7,51,N02,32,3026.67,10,0,Prata,1,Norte,fake_email@corporate.co
0000343102,5,62,N02,27,56053.35,7,0,Platino,1,Norte,fake_email@corporate.co
0000345474,3,46,L02,23,0.1,10,0,Prata,1,Leste,fake_email@corporate.co
0000345865,10,39,N03,38,7500,2,1,Ouro,0,Norte,fake_email@corporate.co
0000346225,6,53,L02,36,3000,6,1,Prata,0,Leste,fake_email@corporate.co
0000346403,10,,CO02,27,0.01,5,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000347086,7,48,L01,21,5000,4,0,Prata,1,Leste,fake_email@corporate.co
0000347531,7,62,L02,12,12808.95,11,0,Ouro,1,Leste,fake_email@corporate.co
0000349291,9,26,L01,12,4000,1,0,Prata,0,Leste,fake_email@corporate.co
0000349739,7,,N01,41,2500,5,0,Prata,1,Norte,fake_email@corporate.co
0000351482,6,43,O,41,6000,2,0,Ouro,1,0este,fake_email@corporate.co
0000356425,7,78,CO02,41,6000,5,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000356719,3,67,CO01,19,12049.25,3,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000357898,2,45,N02,27,0.01,5,0,Bronze,1,Norte,fake_email@corporate.co
0000358649,10,60,S02,32,0.01,5,0,Bronze,1,Sul,fake_email@corporate.co
0000359955,13,68,L01,44,7500,6,0,Ouro,1,Leste,fake_email@corporate.co
0000361283,14,74,L02,04,20245.89,3,0,Platino,99,Leste,fake_email@corporate.co
0000362468,5,53,CO02,35,0.01,8,0,Bronze,0,Centro-0este,fake_email@corporate.co
0000369225,5,51,S02,23,420,8,0,Prata,0,Sul,fake_email@corporate.co
0000369780,9,,L02,04,25000,1,0,Platino,1,Leste,fake_email@corporate.co
0000370398,6,51,L02,52,200,1,0,Prata,1,Leste,fake_email@corporate.co
0000370622,5,51,L02,04,200,2,0,Prata,99,Leste,fake_email@corporate.co
0000371475,11,36,L01,21,0.01,4,0,Bronze,0,Leste,fake_email@corporate.co
0000374644,8,63,CO04,49,6000,2,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000375330,8,69,L02,16,500,9,0,Prata,1,Leste,fake_email@corporate.co
0000376078,11,40,CO02,32,0.01,5,1,Bronze,1,Centro-0este,fake_email@corporate.co
0000380113,4,46,CO04,45,2165.75,11,0,Prata,1,Centro-0este,fake_email@corporate.co
0000393347,,46,L02,34,0.01,8,0,Bronze,0,Leste,fake_email@corporate.co
0000396192,8,46,L02,04,2245,11,1,Prata,1,Leste,fake_email@corporate.co
0000397407,9,38,N02,35,0.01,5,1,Bronze,1,Norte,fake_email@corporate.co
0000397660,4,67,N02,52,11000,5,0,Ouro,0,Norte,fake_email@corporate.co
0000400297,11,73,N03,53,26000,4,0,Platino,99,Norte,fake_email@corporate.co
0000403768,5,53,S01,11,9000,8,0,Ouro,1,Sul,fake_email@corporate.co
0000407364,6,55,CO02,37,5000,4,1,Prata,1,Centro-0este,fake_email@corporate.co
0000408964,9,54,L01,04,3000,8,0,Prata,1,Leste,fake_email@corporate.co
0000414832,6,45,L01,52,0.01,5,0,Bronze,0,Leste,fake_email@corporate.co
0000418943,10,39,,25,0.01,4,1,Bronze,0,,fake_email@corporate.co
0000421979,5,58,N02,38,420,4,0,Prata,1,Norte,fake_email@corporate.co
0000423211,8,33,N01,35,0.01,5,1,Bronze,1,Norte,fake_email@corporate.co
0000434671,11,35,L01,27,0.01,8,1,Bronze,0,Leste,fake_email@corporate.co
0000435961,4,71,N03,04,6000,12,0,Ouro,0,Norte,fake_email@corporate.co
0000439088,10,55,S01,15,0.01,4,0,Bronze,0,Sul,fake_email@corporate.co
0000442542,,57,O,27,480,11,0,Prata,0,0este,fake_email@corporate.co
0000454702,13,53,L01,05,6871.12,5,0,Ouro,0,Leste,fake_email@corporate.co
0000462705,9,58,L01,44,1500,19,0,Prata,1,Leste,fake_email@corporate.co
0000467812,13,43,N03,20,0.01,5,0,Bronze,0,Norte,fake_email@corporate.co
0000473596,8,47,L01,32,0.01,5,0,Bronze,1,Leste,fake_email@corporate.co
0000479403,4,74,L02,18,6000,2,0,Ouro,0,Leste,fake_email@corporate.co
0000481572,10,49,N01,38,5000,1,0,Prata,0,Norte,fake_email@corporate.co
0000486701,9,58,L02,27,3000,9,0,Prata,1,Leste,fake_email@corporate.co
0000492566,8,56,CO02,27,0.01,8,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000498300,5,47,L02,14,6000,1,0,Ouro,1,Leste,fake_email@corporate.co
0000500100,14,30,CO02,52,100,1,1,Prata,1,Centro-0este,fake_email@corporate.co
0000502316,3,68,L02,30,50000,4,1,Platino,1,Leste,fake_email@corporate.co
0000503053,8,45,N02,35,1000,4,0,Prata,1,Norte,fake_email@corporate.co
0000518069,7,71,L01,04,12000,6,0,Ouro,1,Leste,fake_email@corporate.co
0000523259,10,65,L02,28,9053.35,8,0,Ouro,1,Leste,fake_email@corporate.co
0000528102,10,74,L01,24,19000,5,0,Ouro,1,Leste,fake_email@corporate.co
0000530042,10,43,N02,32,0.01,5,1,Bronze,1,Norte,fake_email@corporate.co
0000532479,11,44,O,42,500,9,0,Prata,1,0este,fake_email@corporate.co
0000543004,9,65,L01,48,3000,5,0,Prata,99,Leste,fake_email@corporate.co
0000543683,7,46,L02,28,17409.76,12,0,Ouro,0,Leste,fake_email@corporate.co
0000553115,8,29,CO02,52,2000,12,0,Prata,1,Centro-0este,fake_email@corporate.co
0000580287,7,53,CO04,20,0.01,5,1,Bronze,1,Centro-0este,fake_email@corporate.co
0000588784,9,64,CO02,37,1000,12,0,Prata,0,Centro-0este,fake_email@corporate.co
0000595233,10,49,L02,30,3000,5,1,Prata,0,Leste,fake_email@corporate.co
0000598453,17,59,L01,51,12000,8,1,Ouro,1,Leste,fake_email@corporate.co
0000600504,8,37,N02,52,0.01,5,0,Bronze,1,Norte,fake_email@corporate.co
0000601969,5,60,L01,14,10000,2,0,Ouro,1,Leste,fake_email@corporate.co
0000602906,10,64,N03,52,0.01,4,0,Bronze,1,Norte,fake_email@corporate.co
0000604011,3,,N02,16,5000,4,0,Prata,1,Norte,fake_email@corporate.co
0000606316,15,51,L01,26,3000,8,1,Prata,1,Leste,fake_email@corporate.co
0000607118,8,47,CO02,,0.01,5,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000607444,18,51,CO04,11,3000,3,0,Prata,1,Centro-0este,fake_email@corporate.co
0000608378,5,58,S02,34,3050,11,0,Prata,1,Sul,fake_email@corporate.co
0000610283,9,46,L01,01,0.01,9,0,Bronze,0,Leste,fake_email@corporate.co
0000611662,5,48,L01,31,0.01,5,0,Bronze,99,Leste,fake_email@corporate.co
0000618284,15,,CO01,41,0.02,,1,Prata,1,Centro-0este,fake_email@corporate.co
0000621358,4,61,CO02,19,6000,1,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000630888,9,38,CO02,17,0.01,5,1,Bronze,1,Centro-0este,fake_email@corporate.co
0000633380,7,68,L02,41,15000.01,6,0,Ouro,0,Leste,fake_email@corporate.co
0000633542,12,76,CO04,53,6000,2,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000641022,4,56,N03,32,0.01,8,0,Bronze,1,Norte,fake_email@corporate.co
0000642568,8,73,N01,02,360,1,1,Prata,0,Norte,fake_email@corporate.co
0000649007,8,37,CO02,33,0.01,9,1,Bronze,1,Centro-0este,fake_email@corporate.co
0000653500,,32,CO02,25,2500,1,1,Prata,1,Centro-0este,fake_email@corporate.co
0000663603,11,74,L01,01,3350,4,0,Prata,1,Leste,fake_email@corporate.co
0000666238,9,65,N03,30,6107.64,,0,Ouro,0,Norte,fake_email@corporate.co
0000667692,5,60,CO02,37,5000,2,0,Prata,1,Centro-0este,fake_email@corporate.co
0000669067,10,35,S02,30,1500,4,0,Prata,1,Sul,fake_email@corporate.co
0000672785,6,46,S03,23,6544.99,1,0,Ouro,1,Sul,fake_email@corporate.co
0000674885,3,46,L01,37,6000,5,0,Ouro,1,Leste,fake_email@corporate.co
0000682144,5,70,L01,41,21684.94,0,0,Platino,1,Leste,fake_email@corporate.co
0000691178,9,37,CO03,,10000,11,1,Ouro,0,Centro-0este,fake_email@corporate.co
0000693847,4,46,L02,08,6000,3,0,Ouro,99,Leste,fake_email@corporate.co
0000708569,3,68,S02,43,4000,18,0,Prata,99,Sul,fake_email@corporate.co
0000711616,10,,CO02,08,50000,4,0,Platino,99,Centro-0este,fake_email@corporate.co
0000714054,11,,CO04,32,5000,5,0,Prata,99,Centro-0este,fake_email@corporate.co
0000723185,12,49,L01,37,3000,3,0,Prata,1,Leste,fake_email@corporate.co
0000734446,4,63,CO02,38,3026.67,7,0,Prata,1,Centro-0este,fake_email@corporate.co
0000741779,4,62,CO02,08,5000,5,0,Prata,99,Centro-0este,fake_email@corporate.co
0000742880,5,,L02,37,10000,7,1,Ouro,1,Leste,fake_email@corporate.co
0000745421,5,62,CO01,34,0.02,8,0,Prata,1,Centro-0este,fake_email@corporate.co
0000749044,5,74,N01,22,6000,1,0,Ouro,99,Norte,fake_email@corporate.co
0000750840,5,52,L02,,0.01,5,0,Bronze,1,Leste,fake_email@corporate.co
0000755931,,42,N02,10,0.01,4,0,Bronze,1,Norte,fake_email@corporate.co
0000760641,8,74,CO02,28,6000,17,1,Ouro,1,Centro-0este,fake_email@corporate.co
0000764876,7,43,L02,32,0.01,5,0,Bronze,1,Leste,fake_email@corporate.co
0000770264,8,64,L01,25,12000,2,0,Ouro,1,Leste,fake_email@corporate.co
0000775258,12,31,N02,44,1100,9,0,Prata,1,Norte,fake_email@corporate.co
0000778176,11,41,N01,27,1000,5,0,Prata,1,Norte,fake_email@corporate.co
0000779199,9,45,CO04,51,0.01,8,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000794872,8,67,L01,25,10000.01,2,0,Ouro,1,Leste,fake_email@corporate.co
0000795267,17,,L01,01,1000,13,1,Prata,1,Leste,fake_email@corporate.co
0000796026,9,40,L01,21,0.01,5,0,Bronze,1,Leste,fake_email@corporate.co
0000802069,7,70,L02,05,12000,2,0,Ouro,1,Leste,fake_email@corporate.co
0000804061,20,,L02,16,480,1,1,Prata,1,Leste,fake_email@corporate.co
0000806994,6,56,CO02,52,0.01,5,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000807877,,,L01,13,8053.35,1,0,Ouro,1,Leste,fake_email@corporate.co
0000811831,15,32,N03,52,0.01,5,1,Bronze,1,Norte,fake_email@corporate.co
0000819301,10,51,CO03,,1000,6,0,Prata,0,Centro-0este,fake_email@corporate.co
0000823066,8,65,L01,10,50,7,0,Prata,1,Leste,fake_email@corporate.co
0000823961,8,52,CO04,51,6000,2,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000826758,8,,S02,25,6000,2,1,Ouro,1,Sul,fake_email@corporate.co
0000827614,6,38,L02,38,0.01,9,1,Bronze,1,Leste,fake_email@corporate.co
0000830380,8,43,L01,32,50,10,0,Prata,1,Leste,fake_email@corporate.co
0000835404,7,37,N02,44,0.01,5,0,Bronze,0,Norte,fake_email@corporate.co
0000836222,7,42,S03,22,0.01,5,0,Bronze,0,Sul,fake_email@corporate.co
0000841013,4,22,CO02,02,6000,3,0,Ouro,99,Centro-0este,fake_email@corporate.co
0000842486,8,31,CO01,44,0.01,8,0,Bronze,99,Centro-0este,fake_email@corporate.co
0000848085,15,33,N02,06,0.02,7,1,Prata,1,Norte,fake_email@corporate.co
0000851396,9,,L01,51,600,7,0,Prata,0,Leste,fake_email@corporate.co
0000853291,8,31,CO02,49,5000,1,0,Prata,1,Centro-0este,fake_email@corporate.co
0000856916,8,54,S02,34,12000,8,0,Ouro,0,Sul,fake_email@corporate.co
0000861820,5,54,L02,18,1000,2,0,Prata,1,Leste,fake_email@corporate.co
0000870307,9,53,N03,10,6000,3,0,Ouro,0,Norte,fake_email@corporate.co
0000871095,16,37,N03,53,0.01,5,1,Bronze,1,Norte,fake_email@corporate.co
0000875694,8,63,O,28,6000,2,0,Ouro,1,0este,fake_email@corporate.co
0000876623,3,33,N02,,0.01,5,0,Bronze,0,Norte,fake_email@corporate.co
0000878812,7,65,L01,12,0.01,8,0,Bronze,1,Leste,fake_email@corporate.co
0000889199,14,39,CO02,38,50,10,1,Prata,1,Centro-0este,fake_email@corporate.co
0000897485,9,42,S02,47,6000,2,1,Ouro,1,Sul,fake_email@corporate.co
0000899186,6,67,N03,37,3000,8,0,Prata,0,Norte,fake_email@corporate.co
0000903191,11,43,CO02,52,0.01,5,1,Bronze,1,Centro-0este,fake_email@corporate.co
0000908584,9,,N02,23,6000,6,0,Ouro,0,Norte,fake_email@corporate.co
0000909459,8,50,L02,19,0.02,9,0,Prata,1,Leste,fake_email@corporate.co
0000910007,5,70,CO02,08,12000,5,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000918237,13,58,CO02,28,0.01,8,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000919551,13,50,,,0.01,5,1,Bronze,1,,fake_email@corporate.co
0000922366,7,78,CO03,,1250,5,0,Prata,1,Centro-0este,fake_email@corporate.co
0000929506,5,79,CO01,12,6000,8,0,Ouro,0,Centro-0este,fake_email@corporate.co
0000935530,8,68,L01,01,800,8,1,Prata,1,Leste,fake_email@corporate.co
0000943517,9,48,L01,01,600,8,0,Prata,1,Leste,fake_email@corporate.co
0000946311,9,,L01,20,3000,3,0,Prata,0,Leste,fake_email@corporate.co
0000950033,12,35,O,51,1500,5,0,Prata,0,0este,fake_email@corporate.co
0000951897,9,38,CO01,34,0.01,4,1,Bronze,1,Centro-0este,fake_email@corporate.co
0000952729,11,42,N02,17,6041.13,5,0,Ouro,0,Norte,fake_email@corporate.co
0000956155,14,50,N02,17,420.01,4,0,Prata,0,Norte,fake_email@corporate.co
